Wvlgth nm,Global tilt W*m-2*nm-1
339.619,-40.18
340,-40.18
340.381,-40.18
340.762,-60.04
341.143,-89.82
341.524,-42.66
341.904,-161.8
342.285,-151.87
342.666,-57.55
343.046,-107.2
343.427,-92.3
343.807,-17.84
344.188,21.87
344.568,34.28
344.949,39.25
345.329,-22.8
345.71,118.68
346.09,98.82
346.47,133.57
346.85,86.41
347.23,121.16
347.611,155.91
347.991,170.8
348.371,208.03
348.751,265.12
349.131,252.71
349.511,339.58
349.891,351.99
350.27,329.65
350.65,349.51
351.03,436.38
351.41,396.67
351.79,490.99
352.169,461.21
352.549,421.49
352.928,374.33
353.308,433.9
353.687,317.24
354.067,436.38
354.446,471.13
354.826,463.69
355.205,428.94
355.584,513.33
355.964,374.33
356.343,515.81
356.722,394.19
357.101,421.49
357.48,468.65
357.859,433.9
358.238,384.26
358.617,468.65
358.996,490.99
359.375,436.38
359.754,443.83
360.133,458.72
360.512,386.74
360.891,446.31
361.269,344.55
361.648,443.83
362.027,466.17
362.405,409.08
362.784,453.76
363.162,399.15
363.541,354.48
363.919,414.05
364.298,411.56
364.676,463.69
365.054,411.56
365.433,394.19
365.811,314.76
366.189,471.13
366.567,433.9
366.945,421.49
367.323,354.48
367.701,409.08
368.079,416.53
368.457,379.3
368.835,500.92
369.213,409.08
369.591,495.96
369.969,518.29
370.346,401.64
370.724,426.46
371.102,431.42
371.479,463.69
371.857,386.74
372.235,371.85
372.612,389.22
372.99,411.56
373.367,433.9
373.744,443.83
374.122,391.71
374.499,391.71
374.876,461.21
375.254,394.19
375.631,414.05
376.008,416.53
376.385,406.6
376.762,466.17
377.139,379.3
377.516,384.26
377.893,433.9
378.27,438.87
378.647,488.51
379.024,481.06
379.4,409.08
379.777,374.33
380.154,471.13
380.53,411.56
380.907,416.53
381.284,486.03
381.66,453.76
382.037,396.67
382.413,490.99
382.79,443.83
383.166,443.83
383.542,473.62
383.919,463.69
384.295,396.67
384.671,488.51
385.047,409.08
385.423,473.62
385.799,458.72
386.176,508.37
386.552,391.71
386.928,396.67
387.303,463.69
387.679,441.35
388.055,515.81
388.431,550.56
388.807,389.22
389.183,419.01
389.558,476.1
389.934,443.83
390.309,411.56
390.685,486.03
391.061,500.92
391.436,558.01
391.811,463.69
392.187,441.35
392.562,508.37
392.938,495.96
393.313,426.46
393.688,448.8
394.063,431.42
394.438,441.35
394.814,533.19
395.189,384.26
395.564,476.1
395.939,461.21
396.314,441.35
396.689,553.04
397.063,458.72
397.438,523.26
397.813,456.24
398.188,505.88
398.563,438.87
398.937,481.06
399.312,582.83
399.686,448.8
400.061,518.29
400.435,550.56
400.81,550.56
401.184,498.44
401.559,565.45
401.933,510.85
402.307,466.17
402.682,466.17
403.056,396.67
403.43,533.19
403.804,644.88
404.178,652.33
404.552,572.9
404.926,508.37
405.3,577.86
405.674,523.26
406.048,428.94
406.422,543.12
406.796,486.03
407.169,525.74
407.543,548.08
407.917,520.78
408.291,567.94
408.664,533.19
409.038,488.51
409.411,580.35
409.785,486.03
410.158,560.49
410.531,602.69
410.905,580.35
411.278,555.53
411.651,706.93
412.025,590.28
412.398,617.58
412.771,620.06
413.144,711.9
413.517,694.52
413.89,699.49
414.263,719.34
414.636,734.24
415.009,746.65
415.382,801.25
415.755,853.38
416.127,773.95
416.5,900.54
416.873,803.74
417.245,955.14
417.618,925.36
417.991,965.07
418.363,1004.79
418.736,1029.61
419.108,1061.88
419.48,1061.88
419.853,1071.8
420.225,1146.27
420.597,1307.6
420.97,1203.36
421.342,1347.32
421.714,1377.1
422.086,1444.12
422.458,1486.32
422.83,1602.97
423.202,1689.85
423.574,1774.24
423.946,1880.97
424.318,1992.66
424.69,2208.61
425.061,2337.68
425.433,2290.52
425.805,2441.93
426.177,2638.01
426.548,2744.74
426.92,3057.49
427.291,3015.29
427.663,3243.64
428.034,3407.46
428.406,3593.62
428.777,3685.46
429.148,3988.28
429.519,3829.42
429.891,4303.5
430.262,4499.59
430.633,4621.21
431.004,4693.19
431.375,5065.51
431.746,5107.71
432.117,5256.63
432.488,5609.09
432.859,5854.82
433.23,6299.12
433.601,6448.04
433.971,6592
434.342,6599.45
434.713,7473.15
435.083,7857.88
435.454,8324.51
435.825,8694.35
436.195,8684.42
436.566,8649.67
436.936,9203.18
437.306,9759.17
437.677,9960.22
438.047,10397.07
438.417,10871.15
438.788,11206.24
439.158,11742.37
439.528,12593.73
439.898,12573.88
440.268,13469.91
440.638,13996.12
441.008,14810.25
441.378,15383.62
441.748,15974.36
442.118,17009.4
442.487,17689.49
442.857,18007.2
443.227,18625.25
443.597,19079.47
443.966,20397.47
444.336,20707.73
444.705,21298.47
445.075,22400.53
445.444,22986.3
445.814,23306.49
446.183,24530.17
446.552,24428.41
446.922,24651.79
447.291,24453.23
447.66,25465.92
448.029,24967.02
448.398,25321.96
448.768,25761.3
449.137,25175.52
449.506,25562.73
449.875,24981.91
450.243,24304.3
450.612,24252.18
450.981,24366.35
451.35,24222.39
451.719,23534.85
452.087,22991.27
452.456,22470.02
452.825,22586.68
453.193,21784.96
453.562,21484.63
453.93,21477.18
454.299,20809.5
454.667,20226.2
455.035,20213.79
455.404,19233.36
455.772,18506.1
456.14,18528.44
456.508,18704.67
456.877,17932.74
457.245,17567.87
457.613,17252.64
457.981,17255.12
458.349,17029.25
458.717,16445.96
459.085,16813.31
459.452,16274.69
459.82,16140.66
460.188,15954.5
460.556,16361.57
460.923,15696.36
461.291,15746
461.659,15644.24
462.026,15783.24
462.394,15624.38
462.761,15356.31
463.128,15763.38
463.496,15535.03
463.863,15842.81
464.23,15961.95
464.598,15981.8
464.965,16378.94
465.332,16413.69
465.699,16364.05
466.066,16488.15
466.433,17029.25
466.8,17500.85
467.167,17344.48
467.534,18153.65
467.901,17907.92
468.268,18506.1
468.635,18861.05
469.001,18935.51
469.368,19603.19
469.735,20206.35
470.101,20355.27
470.468,20881.48
470.834,21221.53
471.201,21787.45
471.567,22144.87
471.934,22681
472.3,23197.28
472.666,23703.63
473.032,24031.27
473.399,24413.51
473.765,25317
474.131,25599.96
474.497,26414.09
474.863,26220.48
475.229,27096.67
475.595,27722.16
475.961,27873.57
476.327,28568.56
476.693,28938.39
477.058,29298.29
477.424,29695.43
477.79,30211.71
478.156,30891.8
478.521,30869.47
478.887,31256.67
479.252,31981.45
479.618,32309.09
479.983,32093.14
480.348,32837.77
480.714,32718.63
481.079,33790.9
481.444,33924.94
481.81,33656.87
482.175,34396.54
482.54,34729.14
482.905,34694.39
483.27,35714.53
483.635,35456.39
484,35741.84
484.365,36647.8
484.73,36367.33
485.095,36526.18
485.459,36923.32
485.824,37193.87
486.189,37231.1
486.553,38092.39
486.918,38588.81
487.283,39179.55
487.647,39549.38
488.012,39805.04
488.376,40519.89
488.74,40827.67
489.105,41574.78
489.469,41401.03
489.833,42354.16
490.198,42746.33
490.562,43203.04
490.926,43347
491.29,43965.05
491.654,43860.8
492.018,44171.06
492.382,44434.17
492.746,44754.36
493.11,44871.02
493.474,45052.21
493.837,45230.92
494.201,45377.37
494.565,44789.11
494.928,45074.55
495.292,45260.71
495.656,45201.14
496.019,45501.47
496.383,44990.16
496.746,44699.75
497.109,44580.61
497.473,43741.66
497.836,44148.72
498.199,43580.32
498.563,43376.79
498.926,43004.47
499.289,42426.14
499.652,42182.9
500.015,41614.5
500.378,41244.66
500.741,40621.65
501.104,40001.13
501.467,39780.22
501.829,39519.6
502.192,38983.46
502.555,38918.93
502.918,38266.14
503.28,38161.89
503.643,37707.66
504.005,37186.42
504.368,37069.76
504.73,36804.18
505.093,36384.7
505.455,35818.78
505.817,36238.26
506.18,35724.46
506.542,35515.97
506.904,35659.93
507.266,35247.9
507.628,34979.83
507.991,34555.39
508.353,34108.61
508.715,33852.96
509.076,33607.23
509.438,33944.79
509.8,34108.61
510.162,33656.87
510.524,33212.57
510.885,32557.3
511.247,32204.84
511.609,32470.42
511.97,32189.95
512.332,32043.5
512.693,32440.64
513.055,32135.34
513.416,31795.29
513.778,31765.51
514.139,31740.68
514.5,31978.97
514.861,31524.74
515.223,31447.8
515.584,31080.44
515.945,31321.21
516.306,31951.66
516.667,31363.4
517.028,31760.54
517.389,31422.98
517.75,31549.56
518.11,31785.36
518.471,31698.49
518.832,31306.32
519.193,31504.88
519.553,31375.82
519.914,31328.66
520.274,31390.71
520.635,31874.72
520.995,31065.55
521.356,31537.15
521.716,31715.86
522.076,31782.88
522.437,31413.05
522.797,31524.74
523.157,31413.05
523.517,31591.76
523.877,31661.26
524.238,31226.89
524.598,31889.61
524.958,32060.88
525.317,32115.48
525.677,31882.16
526.037,31810.18
526.397,32011.23
526.757,31830.04
527.116,31852.38
527.476,32137.82
527.836,32070.8
528.195,32187.46
528.555,31882.16
528.914,32187.46
529.274,32592.05
529.633,32033.57
529.993,32244.55
530.352,32703.74
530.711,32408.37
531.07,32145.27
531.429,32122.93
531.789,32502.69
532.148,33157.97
532.507,32529.99
532.866,32423.26
533.225,32435.67
533.584,32492.76
533.942,32621.83
534.301,32356.25
534.66,32651.62
535.019,32333.91
535.377,32790.61
535.736,32333.91
536.095,32582.12
536.453,32750.9
536.812,32314.05
537.17,32606.94
537.528,32726.08
537.887,32954.43
538.245,32338.87
538.603,32259.44
538.962,32529.99
539.32,32395.96
539.678,32455.53
540.036,32668.99
540.394,32668.99
540.752,32440.64
541.11,33153
541.468,32433.19
541.826,32837.77
542.184,32569.71
542.541,33006.56
542.899,32609.42
543.257,33043.79
543.614,33304.41
543.972,32539.92
544.33,32927.13
544.687,32857.63
545.045,33120.73
545.402,33160.45
545.759,33359.02
546.117,33026.41
546.474,33383.84
546.831,33212.57
547.188,33237.39
547.546,33018.97
547.903,33016.49
548.26,33120.73
548.617,32793.1
548.974,33510.42
549.331,33177.82
549.687,33344.12
550.044,32924.65
550.401,33018.97
550.758,33463.26
551.114,33301.93
551.471,33423.55
551.828,33383.84
552.184,33004.08
552.541,32956.92
552.897,33438.44
553.254,33190.23
553.61,33081.02
553.966,33617.16
554.323,33259.73
554.679,33435.96
555.035,33217.54
555.391,33535.25
555.747,33103.36
556.103,33619.64
556.459,33579.92
556.815,33838.06
557.171,33708.99
557.527,33974.58
557.883,33632.05
558.239,33790.9
558.594,33473.19
558.95,33532.76
559.306,34220.31
559.661,33969.61
560.017,34088.76
560.372,33761.12
560.728,33746.22
561.083,34061.45
561.438,34123.5
561.794,34336.97
562.149,34009.33
562.504,34473.48
562.859,34344.41
563.215,34403.98
563.57,34461.07
563.925,34302.22
564.28,34471
564.635,34783.74
564.99,34356.82
565.344,34508.23
565.699,34672.05
566.054,34562.84
566.409,34629.85
566.763,34654.67
567.118,34657.16
567.473,34555.39
567.827,35329.81
568.182,34825.94
568.536,35056.78
568.891,35004.65
569.245,35215.63
569.599,35434.06
569.953,35103.94
570.308,35411.72
570.662,35277.68
571.016,35108.9
571.37,35352.15
571.724,35729.43
572.078,35650
572.432,35692.19
572.786,35592.91
573.14,35396.82
573.494,35525.89
573.847,35148.61
574.201,35823.75
574.555,35764.18
574.908,35404.27
575.262,35682.27
575.615,35617.73
575.969,35359.59
576.322,35692.19
576.676,35600.36
577.029,35992.53
577.382,35697.16
577.736,35935.44
578.089,35645.03
578.442,35233.01
578.795,35702.12
579.148,35697.16
579.501,35344.7
579.854,35443.98
580.207,35962.74
580.56,35386.9
580.913,35573.05
581.265,35352.15
581.618,35342.22
581.971,35359.59
582.324,35329.81
582.676,35123.79
583.029,34855.73
583.381,35277.68
583.734,35195.77
584.086,35359.59
584.438,34945.08
584.791,35138.69
585.143,35076.63
585.495,35143.65
585.847,35061.74
586.2,35123.79
586.552,34629.85
586.904,34572.77
587.256,34731.62
587.608,34992.24
587.959,34632.34
588.311,34538.02
588.663,34664.6
589.015,34054.01
589.367,34401.5
589.718,34361.79
590.07,34557.87
590.421,33959.69
590.773,34071.38
591.124,33589.85
591.476,34274.91
591.827,33862.88
592.179,33895.15
592.53,33833.1
592.881,33954.72
593.232,33632.05
593.584,33361.5
593.935,33629.57
594.286,33748.71
594.637,33649.42
594.988,33339.16
595.339,33090.95
595.689,33780.97
596.04,33279.59
596.391,33165.41
596.742,33495.53
597.092,33033.86
597.443,33299.45
597.794,33123.22
598.144,33269.66
598.495,33381.36
598.845,33299.45
599.196,33361.5
599.546,33632.05
599.896,33584.89
600.247,33220.02
600.597,33093.43
600.947,33398.73
601.297,33646.94
601.647,33247.32
601.997,33480.64
602.347,33542.69
602.697,33038.83
603.047,33108.32
603.397,33172.86
603.747,33532.76
604.096,33855.44
604.446,33128.18
604.796,33366.46
605.145,33865.37
605.495,33498.01
605.844,33326.75
606.194,33882.74
606.543,34140.88
606.893,34031.67
607.242,34235.2
607.591,33957.2
607.94,33713.96
608.29,33520.35
608.639,34403.98
608.988,33989.47
609.337,34014.29
609.686,33644.46
610.035,34262.5
610.384,34654.67
610.733,34262.5
611.081,34394.05
