local_time,temperature_h
2019/1/1 0:00,7.814
2019/1/1 1:00,8.023
2019/1/1 2:00,8.124
2019/1/1 3:00,8.223
2019/1/1 4:00,8.242
2019/1/1 5:00,8.017
2019/1/1 6:00,7.302
2019/1/1 7:00,6.382
2019/1/1 8:00,5.729
2019/1/1 9:00,6.344
2019/1/1 10:00,6.698
2019/1/1 11:00,7.134
2019/1/1 12:00,7.521
2019/1/1 13:00,7.428
2019/1/1 14:00,6.559
2019/1/1 15:00,4.106
2019/1/1 16:00,2.644
2019/1/1 17:00,2
2019/1/1 18:00,1.39
2019/1/1 19:00,0.936
2019/1/1 20:00,0.325
2019/1/1 21:00,-0.238
2019/1/1 22:00,-0.719
2019/1/1 23:00,-1.067
2019/1/2 0:00,-1.172
2019/1/2 1:00,-1.007
2019/1/2 2:00,-0.833
2019/1/2 3:00,-0.67
2019/1/2 4:00,-0.643
2019/1/2 5:00,-0.556
2019/1/2 6:00,-0.542
2019/1/2 7:00,-0.548
2019/1/2 8:00,-0.387
2019/1/2 9:00,1.271
2019/1/2 10:00,2.637
2019/1/2 11:00,3.542
2019/1/2 12:00,4.574
2019/1/2 13:00,4.723
2019/1/2 14:00,4.013
2019/1/2 15:00,2.683
2019/1/2 16:00,1.884
2019/1/2 17:00,1.506
2019/1/2 18:00,1.323
2019/1/2 19:00,1.371
2019/1/2 20:00,1.279
2019/1/2 21:00,1.036
2019/1/2 22:00,0.656
2019/1/2 23:00,0.259
2019/1/3 0:00,-0.183
2019/1/3 1:00,-0.688
2019/1/3 2:00,-0.929
2019/1/3 3:00,-1.091
2019/1/3 4:00,-1.323
2019/1/3 5:00,-1.393
2019/1/3 6:00,-1.321
2019/1/3 7:00,-0.98
2019/1/3 8:00,-0.626
2019/1/3 9:00,0.054
2019/1/3 10:00,0.964
2019/1/3 11:00,1.89
2019/1/3 12:00,2.799
2019/1/3 13:00,2.718
2019/1/3 14:00,1.896
2019/1/3 15:00,0.854
2019/1/3 16:00,-0.045
2019/1/3 17:00,-0.387
2019/1/3 18:00,-0.773
2019/1/3 19:00,-1.271
2019/1/3 20:00,-1.924
2019/1/3 21:00,-2.262
2019/1/3 22:00,-2.518
2019/1/3 23:00,-3.051
2019/1/4 0:00,-3.194
2019/1/4 1:00,-3.221
2019/1/4 2:00,-3.25
2019/1/4 3:00,-3.269
2019/1/4 4:00,-3.263
2019/1/4 5:00,-3.271
2019/1/4 6:00,-3.195
2019/1/4 7:00,-2.978
2019/1/4 8:00,-2.407
2019/1/4 9:00,-0.825
2019/1/4 10:00,0.221
2019/1/4 11:00,1.148
2019/1/4 12:00,1.973
2019/1/4 13:00,2.408
2019/1/4 14:00,1.968
2019/1/4 15:00,0.568
2019/1/4 16:00,0.067
2019/1/4 17:00,0.159
2019/1/4 18:00,0.211
2019/1/4 19:00,0.277
2019/1/4 20:00,0.308
2019/1/4 21:00,0.299
2019/1/4 22:00,0.127
2019/1/4 23:00,-0.241
2019/1/5 0:00,-0.382
2019/1/5 1:00,-0.503
2019/1/5 2:00,-0.575
2019/1/5 3:00,-0.561
2019/1/5 4:00,-0.401
2019/1/5 5:00,-0.214
2019/1/5 6:00,-0.036
2019/1/5 7:00,0.135
2019/1/5 8:00,0.285
2019/1/5 9:00,1.107
2019/1/5 10:00,2.238
2019/1/5 11:00,3.266
2019/1/5 12:00,3.952
2019/1/5 13:00,4.046
2019/1/5 14:00,3.221
2019/1/5 15:00,2.054
2019/1/5 16:00,1.746
2019/1/5 17:00,1.719
2019/1/5 18:00,1.769
2019/1/5 19:00,1.936
2019/1/5 20:00,2.14
2019/1/5 21:00,2.255
2019/1/5 22:00,2.34
2019/1/5 23:00,2.19
2019/1/6 0:00,2.128
2019/1/6 1:00,2.107
2019/1/6 2:00,1.983
2019/1/6 3:00,1.843
2019/1/6 4:00,1.973
2019/1/6 5:00,2.389
2019/1/6 6:00,3.202
2019/1/6 7:00,3.681
2019/1/6 8:00,3.986
2019/1/6 9:00,4.641
2019/1/6 10:00,5.317
2019/1/6 11:00,6.034
2019/1/6 12:00,6.703
2019/1/6 13:00,6.998
2019/1/6 14:00,6.653
2019/1/6 15:00,5.498
2019/1/6 16:00,5.221
2019/1/6 17:00,5.467
2019/1/6 18:00,5.399
2019/1/6 19:00,5.28
2019/1/6 20:00,5.128
2019/1/6 21:00,4.905
2019/1/6 22:00,4.707
2019/1/6 23:00,4.68
2019/1/7 0:00,4.601
2019/1/7 1:00,4.482
2019/1/7 2:00,4.614
2019/1/7 3:00,4.776
2019/1/7 4:00,4.794
2019/1/7 5:00,4.779
2019/1/7 6:00,4.715
2019/1/7 7:00,4.718
2019/1/7 8:00,5.348
2019/1/7 9:00,6.361
2019/1/7 10:00,7.392
2019/1/7 11:00,8.588
2019/1/7 12:00,9.348
