Wvlgth nm,Global tilt W*m-2*nm-1
339.619,-66.4
340,-66.4
340.381,-66.4
340.762,-9.31
341.143,-103.63
341.524,-34.13
341.904,-91.22
342.285,-91.22
342.666,-68.88
343.046,-36.61
343.427,-31.65
343.807,-1.86
344.188,-106.11
344.568,-98.66
344.949,5.58
345.329,77.57
345.71,8.07
346.09,119.76
346.47,99.9
346.85,127.21
347.23,122.24
347.611,127.21
347.991,189.26
348.371,199.19
348.751,171.89
349.131,283.58
349.511,286.06
349.891,273.65
350.27,278.62
350.65,224.01
351.03,261.24
351.41,291.03
351.79,315.85
352.169,298.47
352.549,295.99
352.928,238.9
353.308,382.86
353.687,360.53
354.067,328.26
354.446,390.31
354.826,308.4
355.205,345.63
355.584,382.86
355.964,397.76
356.343,338.19
356.722,392.79
357.101,350.6
357.48,380.38
357.859,387.83
358.238,348.12
358.617,360.53
358.996,333.22
359.375,298.47
359.754,263.72
360.133,343.15
360.512,273.65
360.891,310.88
361.269,288.54
361.648,360.53
362.027,310.88
362.405,365.49
362.784,298.47
363.162,353.08
363.541,318.33
363.919,318.33
364.298,375.42
364.676,248.83
365.054,325.78
365.433,343.15
365.811,313.37
366.189,271.17
366.567,293.51
366.945,266.21
367.323,310.88
367.701,335.7
368.079,258.76
368.457,335.7
368.835,330.74
369.213,209.12
369.591,281.1
369.969,288.54
370.346,375.42
370.724,298.47
371.102,333.22
371.479,348.12
371.857,328.26
372.235,246.35
372.612,253.8
372.99,355.56
373.367,248.83
373.744,293.51
374.122,350.6
374.499,320.81
374.876,315.85
375.254,253.8
375.631,315.85
376.008,333.22
376.385,288.54
376.762,340.67
377.139,310.88
377.516,325.78
377.893,380.38
378.27,293.51
378.647,387.83
379.024,303.44
379.4,320.81
379.777,318.33
380.154,315.85
380.53,382.86
380.907,310.88
381.284,348.12
381.66,268.69
382.037,305.92
382.413,211.6
382.79,313.37
383.166,402.72
383.542,348.12
383.919,320.81
384.295,283.58
384.671,420.1
385.047,370.45
385.423,258.76
385.799,367.97
386.176,266.21
386.552,328.26
386.928,328.26
387.303,318.33
387.679,278.62
388.055,345.63
388.431,313.37
388.807,328.26
389.183,392.79
389.558,377.9
389.934,360.53
390.309,360.53
390.685,313.37
391.061,330.74
391.436,343.15
391.811,273.65
392.187,387.83
392.562,325.78
392.938,363.01
393.313,375.42
393.688,340.67
394.063,363.01
394.438,360.53
394.814,355.56
395.189,315.85
395.564,318.33
395.939,325.78
396.314,308.4
396.689,380.38
397.063,355.56
397.438,283.58
397.813,380.38
398.188,382.86
398.563,387.83
398.937,300.96
399.312,325.78
399.686,328.26
400.061,315.85
400.435,353.08
400.81,343.15
401.184,395.28
401.559,377.9
401.933,360.53
402.307,405.2
402.682,370.45
403.056,291.03
403.43,343.15
403.804,402.72
404.178,444.92
404.552,328.26
404.926,412.65
405.3,375.42
405.674,320.81
406.048,425.06
406.422,303.44
406.796,380.38
407.169,365.49
407.543,382.86
407.917,305.92
408.291,330.74
408.664,372.94
409.038,330.74
409.411,325.78
409.785,380.38
410.158,308.4
410.531,365.49
410.905,293.51
411.278,425.06
411.651,382.86
412.025,407.69
412.398,320.81
412.771,340.67
413.144,375.42
413.517,355.56
413.89,472.22
414.263,402.72
414.636,333.22
415.009,434.99
415.382,395.28
415.755,395.28
416.127,380.38
416.5,370.45
416.873,405.2
417.245,390.31
417.618,410.17
417.991,417.61
418.363,432.51
418.736,345.63
419.108,437.47
419.48,467.26
419.853,502.01
420.225,330.74
420.597,449.88
420.97,417.61
421.342,377.9
421.714,400.24
422.086,437.47
422.458,492.08
422.83,412.65
423.202,492.08
423.574,432.51
423.946,452.36
424.318,519.38
424.69,489.6
425.061,474.7
425.433,484.63
425.805,514.42
426.177,556.61
426.548,546.68
426.92,588.88
427.291,583.92
427.663,519.38
428.034,571.5
428.406,581.43
428.777,571.5
429.148,608.74
429.519,710.5
429.891,703.06
430.262,703.06
430.633,708.02
431.004,685.68
431.375,787.45
431.746,762.63
432.117,832.13
432.488,794.89
432.859,914.03
433.23,968.64
433.601,986.02
433.971,1045.59
434.342,1043.1
434.713,1102.67
435.083,1254.08
435.454,1360.81
435.825,1415.42
436.195,1380.67
436.566,1355.85
436.936,1400.53
437.306,1668.59
437.677,1586.69
438.047,1683.49
438.417,1740.58
438.788,1738.09
439.158,1767.88
439.528,1978.86
439.898,2068.21
440.268,2125.3
440.638,2328.83
441.008,2353.66
441.378,2447.98
441.748,2537.33
442.118,2706.11
442.487,2842.63
442.857,2934.47
443.227,2966.74
443.597,3294.37
443.966,3239.77
444.336,3430.89
444.705,3666.69
445.075,3756.04
445.444,4039
445.814,4195.38
446.183,4262.39
446.552,4592.51
446.922,4706.69
447.291,4808.46
447.66,5061.63
448.029,5406.64
448.398,5607.69
448.768,6027.17
449.137,5982.49
449.506,6337.43
449.875,6511.18
450.243,6774.28
450.612,7198.72
450.981,7434.52
451.35,7789.46
451.719,8104.69
452.087,8499.35
452.456,8673.09
452.825,9246.46
453.193,9509.56
453.562,9814.86
453.93,10246.75
454.299,10462.69
454.667,10648.85
455.035,11232.14
455.404,11197.39
455.772,11304.12
456.14,12264.7
456.508,12264.7
456.877,12242.36
457.245,12299.45
457.613,12502.98
457.981,12838.06
458.349,12977.06
458.717,12813.24
459.085,13113.58
459.452,12977.06
459.82,12793.39
460.188,12550.14
460.556,12944.79
460.923,12428.52
461.291,12014.01
461.659,11822.88
