Wvlgth nm,Global tilt W*m-2*nm-1
339.619,-84.55
340,-84.55
340.381,-84.55
340.762,-168.94
341.143,-136.67
341.524,-94.48
341.904,-159.01
342.285,-22.49
342.666,-12.57
343.046,-79.58
343.427,-59.73
343.807,12.26
344.188,42.04
344.568,-42.35
344.949,-2.64
345.329,81.75
345.71,44.52
346.09,44.52
346.47,111.54
346.85,111.54
347.23,24.67
347.611,109.06
347.991,138.84
348.371,123.95
348.751,233.16
349.131,248.06
349.511,230.68
349.891,205.86
350.27,213.31
350.65,228.2
351.03,225.72
351.41,262.95
351.79,270.39
352.169,317.55
352.549,344.86
352.928,339.89
353.308,238.13
353.687,342.38
354.067,384.57
354.446,325
354.826,243.09
355.205,300.18
355.584,342.38
355.964,315.07
356.343,384.57
356.722,342.38
357.101,307.63
357.48,173.59
357.859,329.96
358.238,334.93
358.617,377.12
358.996,305.14
359.375,342.38
359.754,342.38
360.133,305.14
360.512,270.39
360.891,215.79
361.269,302.66
361.648,322.52
362.027,255.5
362.405,297.7
362.784,270.39
363.162,282.8
363.541,287.77
363.919,315.07
364.298,374.64
364.676,287.77
365.054,213.31
365.433,230.68
365.811,315.07
366.189,280.32
366.567,290.25
366.945,287.77
367.323,297.7
367.701,275.36
368.079,287.77
368.457,282.8
368.835,190.97
369.213,364.71
369.591,295.22
369.969,329.96
370.346,302.66
370.724,357.27
371.102,280.32
371.479,315.07
371.857,312.59
372.235,317.55
372.612,275.36
372.99,342.38
373.367,295.22
373.744,277.84
374.122,270.39
374.499,310.11
374.876,332.45
375.254,339.89
375.631,235.64
376.008,228.2
376.385,262.95
376.762,238.13
377.139,297.7
377.516,290.25
377.893,295.22
378.27,253.02
378.647,285.29
379.024,270.39
379.4,282.8
379.777,225.72
380.154,267.91
380.53,205.86
380.907,302.66
381.284,282.8
381.66,200.9
382.037,171.11
382.413,310.11
382.79,337.41
383.166,277.84
383.542,352.3
383.919,297.7
384.295,317.55
384.671,280.32
385.047,310.11
385.423,282.8
385.799,280.32
386.176,320.04
386.552,307.63
386.928,257.98
387.303,347.34
387.679,282.8
388.055,282.8
388.431,285.29
388.807,364.71
389.183,295.22
389.558,287.77
389.934,337.41
390.309,349.82
390.685,369.68
391.061,255.5
391.436,255.5
391.811,250.54
392.187,272.88
392.562,253.02
392.938,230.68
393.313,354.79
393.688,317.55
394.063,421.8
394.438,372.16
394.814,327.48
395.189,325
395.564,305.14
395.939,267.91
396.314,277.84
396.689,310.11
397.063,344.86
397.438,315.07
397.813,329.96
398.188,310.11
398.563,327.48
398.937,325
399.312,339.89
399.686,327.48
400.061,312.59
400.435,334.93
400.81,334.93
401.184,372.16
401.559,285.29
401.933,357.27
402.307,339.89
402.682,305.14
403.056,362.23
403.43,354.79
403.804,334.93
404.178,332.45
404.552,359.75
404.926,327.48
405.3,260.47
405.674,339.89
406.048,342.38
406.422,327.48
406.796,389.54
407.169,307.63
407.543,282.8
407.917,332.45
408.291,325
408.664,297.7
409.038,369.68
409.411,312.59
409.785,312.59
410.158,379.61
410.531,320.04
410.905,352.3
411.278,307.63
411.651,347.34
412.025,203.38
412.398,322.52
412.771,307.63
413.144,310.11
413.517,320.04
413.89,372.16
414.263,406.91
414.636,325
415.009,243.09
415.382,287.77
415.755,277.84
416.127,290.25
416.5,359.75
416.873,307.63
417.245,320.04
417.618,354.79
417.991,347.34
418.363,382.09
418.736,329.96
419.108,431.73
419.48,295.22
419.853,235.64
420.225,392.02
420.597,307.63
420.97,411.87
421.342,329.96
421.714,349.82
422.086,396.98
422.458,255.5
422.83,347.34
423.202,312.59
423.574,362.23
423.946,250.54
424.318,329.96
424.69,285.29
425.061,322.52
425.433,312.59
425.805,327.48
426.177,302.66
426.548,300.18
426.92,327.48
427.291,337.41
427.663,275.36
428.034,347.34
428.406,312.59
428.777,320.04
429.148,325
429.519,349.82
429.891,305.14
430.262,367.2
430.633,277.84
431.004,344.86
431.375,317.55
431.746,374.64
432.117,334.93
432.488,329.96
432.859,344.86
433.23,310.11
433.601,310.11
433.971,310.11
434.342,461.52
434.713,399.46
435.083,401.95
435.454,476.41
435.825,496.27
436.195,322.52
436.566,387.05
436.936,327.48
437.306,389.54
437.677,389.54
438.047,337.41
438.417,359.75
438.788,325
439.158,392.02
439.528,362.23
439.898,339.89
440.268,302.66
440.638,364.71
441.008,411.87
441.378,357.27
441.748,342.38
442.118,347.34
442.487,270.39
442.857,342.38
443.227,290.25
443.597,367.2
443.966,325
444.336,352.3
444.705,342.38
445.075,352.3
445.444,359.75
445.814,404.43
446.183,322.52
446.552,421.8
446.922,307.63
447.291,396.98
447.66,399.46
448.029,396.98
448.398,312.59
448.768,344.86
449.137,359.75
449.506,287.77
449.875,424.28
450.243,387.05
450.612,325
450.981,282.8
451.35,414.36
451.719,344.86
452.087,464
452.456,369.68
452.825,357.27
453.193,414.36
453.562,359.75
453.93,404.43
454.299,411.87
454.667,290.25
455.035,379.61
455.404,337.41
455.772,389.54
456.14,392.02
456.508,387.05
456.877,337.41
457.245,374.64
457.613,396.98
457.981,362.23
458.349,414.36
458.717,449.11
459.085,424.28
459.452,339.89
459.82,332.45
460.188,374.64
460.556,337.41
460.923,339.89
461.291,401.95
461.659,372.16
462.026,300.18
462.394,334.93
462.761,312.59
463.128,367.2
463.496,347.34
463.863,312.59
464.23,369.68
464.598,322.52
464.965,404.43
465.332,374.64
465.699,382.09
466.066,406.91
466.433,431.73
466.8,404.43
467.167,414.36
467.534,357.27
467.901,369.68
468.268,401.95
468.635,374.64
469.001,399.46
469.368,364.71
469.735,317.55
470.101,382.09
470.468,404.43
470.834,362.23
471.201,464
471.567,399.46
471.934,441.66
472.3,364.71
472.666,436.7
473.032,444.14
473.399,396.98
473.765,461.52
474.131,339.89
474.497,473.93
474.863,434.21
475.229,468.96
475.595,396.98
475.961,406.91
476.327,424.28
476.693,459.03
477.058,491.3
477.424,464
477.79,459.03
478.156,528.53
478.521,521.09
478.887,476.41
479.252,543.43
479.618,506.19
479.983,511.16
480.348,550.87
480.714,483.86
481.079,593.07
481.444,538.46
481.81,545.91
482.175,635.26
