Wvlgth nm,Global tilt W*m-2*nm-1
339.619,-90.91
340,-90.91
340.381,-90.91
340.762,-177.78
341.143,-172.82
341.524,-56.16
341.904,-177.78
342.285,-98.35
342.666,-48.71
343.046,-71.05
343.427,-58.64
343.807,-38.78
344.188,55.54
344.568,-43.75
344.949,97.73
345.329,0.93
345.71,90.29
346.09,38.16
346.47,87.8
346.85,112.63
347.23,110.14
347.611,75.39
347.991,167.23
348.371,206.95
348.751,85.32
349.131,159.79
349.511,152.34
349.891,236.73
350.27,177.16
350.65,182.12
351.03,194.53
351.41,169.71
351.79,246.66
352.169,306.23
352.549,363.32
352.928,261.55
353.308,269
353.687,350.91
354.067,340.98
354.446,355.87
354.826,348.43
355.205,323.6
355.584,269
355.964,373.25
356.343,301.27
356.722,269
357.101,296.3
357.48,318.64
357.859,400.55
358.238,283.89
358.617,348.43
358.996,296.3
359.375,303.75
359.754,308.71
360.133,291.34
360.512,303.75
360.891,301.27
361.269,311.19
361.648,298.78
362.027,239.21
362.405,326.09
362.784,318.64
363.162,273.96
363.541,388.14
363.919,358.35
364.298,271.48
364.676,239.21
365.054,286.37
365.433,273.96
365.811,323.6
366.189,293.82
366.567,244.18
366.945,336.01
367.323,231.77
367.701,286.37
368.079,296.3
368.457,360.84
368.835,276.44
369.213,264.03
369.591,296.3
369.969,271.48
370.346,234.25
370.724,281.41
371.102,286.37
371.479,221.84
371.857,278.93
372.235,316.16
372.612,298.78
372.99,266.52
373.367,269
373.744,308.71
374.122,331.05
374.499,373.25
374.876,316.16
375.254,343.46
375.631,298.78
376.008,303.75
376.385,306.23
376.762,286.37
377.139,345.94
377.516,283.89
377.893,301.27
378.27,301.27
378.647,266.52
379.024,350.91
379.4,340.98
379.777,358.35
380.154,273.96
380.53,296.3
380.907,363.32
381.284,288.85
381.66,269
382.037,276.44
382.413,390.62
382.79,192.05
383.166,288.85
383.542,278.93
383.919,281.41
384.295,343.46
384.671,343.46
385.047,288.85
385.423,363.32
385.799,303.75
386.176,261.55
386.552,251.62
386.928,273.96
387.303,276.44
387.679,296.3
388.055,348.43
388.431,338.5
388.807,281.41
389.183,340.98
389.558,241.69
389.934,278.93
390.309,323.6
390.685,293.82
391.061,373.25
391.436,378.21
391.811,264.03
392.187,286.37
392.562,211.91
392.938,281.41
393.313,283.89
393.688,276.44
394.063,345.94
394.438,293.82
394.814,199.5
395.189,345.94
395.564,291.34
395.939,370.76
396.314,271.48
396.689,269
397.063,321.12
397.438,303.75
397.813,353.39
398.188,373.25
398.563,308.71
398.937,269
399.312,291.34
399.686,311.19
400.061,236.73
400.435,234.25
400.81,313.68
401.184,288.85
401.559,353.39
401.933,311.19
402.307,281.41
402.682,296.3
403.056,308.71
403.43,345.94
403.804,358.35
404.178,343.46
404.552,370.76
404.926,303.75
405.3,286.37
405.674,368.28
406.048,291.34
406.422,318.64
406.796,261.55
407.169,251.62
407.543,338.5
407.917,293.82
408.291,368.28
408.664,259.07
409.038,278.93
409.411,259.07
409.785,226.8
410.158,308.71
410.531,403.03
410.905,353.39
411.278,333.53
411.651,350.91
412.025,249.14
412.398,340.98
412.771,311.19
413.144,331.05
413.517,383.17
413.89,422.89
414.263,378.21
414.636,269
415.009,283.89
415.382,395.59
415.755,375.73
416.127,318.64
416.5,343.46
416.873,345.94
417.245,321.12
417.618,276.44
417.991,378.21
418.363,326.09
418.736,311.19
419.108,323.6
419.48,370.76
419.853,318.64
420.225,311.19
420.597,358.35
420.97,266.52
421.342,283.89
421.714,338.5
422.086,358.35
422.458,333.53
422.83,350.91
423.202,256.59
423.574,398.07
423.946,348.43
424.318,291.34
424.69,363.32
425.061,365.8
425.433,264.03
425.805,323.6
426.177,338.5
426.548,370.76
426.92,311.19
427.291,331.05
427.663,360.84
428.034,234.25
428.406,378.21
428.777,283.89
429.148,368.28
429.519,368.28
429.891,365.8
430.262,328.57
430.633,326.09
431.004,373.25
431.375,278.93
431.746,311.19
432.117,323.6
432.488,350.91
432.859,251.62
433.23,318.64
433.601,348.43
433.971,306.23
434.342,338.5
434.713,328.57
435.083,408
435.454,412.96
435.825,445.23
436.195,437.78
436.566,353.39
436.936,318.64
437.306,350.91
437.677,306.23
438.047,313.68
438.417,365.8
438.788,328.57
439.158,224.32
439.528,355.87
439.898,321.12
440.268,345.94
440.638,313.68
441.008,326.09
441.378,350.91
441.748,363.32
442.118,261.55
442.487,345.94
442.857,296.3
443.227,328.57
443.597,331.05
443.966,308.71
444.336,365.8
444.705,415.44
445.075,368.28
445.444,363.32
445.814,363.32
446.183,350.91
446.552,340.98
446.922,308.71
447.291,276.44
447.66,286.37
448.029,303.75
448.398,353.39
448.768,403.03
449.137,340.98
449.506,390.62
449.875,296.3
450.243,311.19
450.612,301.27
450.981,363.32
451.35,343.46
451.719,321.12
452.087,318.64
452.456,417.92
452.825,321.12
453.193,345.94
453.562,293.82
453.93,353.39
454.299,353.39
454.667,278.93
455.035,331.05
455.404,271.48
455.772,291.34
456.14,350.91
456.508,393.1
456.877,283.89
457.245,328.57
457.613,318.64
457.981,333.53
458.349,385.66
458.717,316.16
459.085,353.39
459.452,298.78
459.82,375.73
460.188,350.91
460.556,360.84
460.923,385.66
461.291,328.57
461.659,360.84
462.026,368.28
462.394,303.75
462.761,370.76
463.128,358.35
463.496,348.43
463.863,363.32
464.23,375.73
464.598,348.43
464.965,338.5
465.332,293.82
465.699,380.69
466.066,345.94
466.433,338.5
466.8,378.21
467.167,425.37
467.534,358.35
467.901,306.23
468.268,318.64
468.635,283.89
469.001,296.3
469.368,403.03
469.735,385.66
470.101,288.85
470.468,360.84
470.834,355.87
471.201,365.8
471.567,291.34
471.934,318.64
472.3,388.14
472.666,316.16
473.032,281.41
473.399,293.82
473.765,313.68
474.131,388.14
474.497,291.34
474.863,303.75
475.229,405.51
475.595,375.73
475.961,269
476.327,348.43
476.693,311.19
477.058,316.16
477.424,370.76
477.79,373.25
478.156,298.78
478.521,348.43
478.887,316.16
479.252,358.35
479.618,336.01
479.983,408
480.348,398.07
480.714,291.34
481.079,323.6
481.444,321.12
481.81,353.39
482.175,283.89
482.54,417.92
482.905,365.8
483.27,328.57
483.635,390.62
484,350.91
484.365,288.85
484.73,380.69
485.095,328.57
485.459,353.39
485.824,348.43
486.189,388.14
486.553,363.32
486.918,412.96
487.283,355.87
487.647,308.71
488.012,338.5
488.376,316.16
488.74,380.69
489.105,271.48
489.469,273.96
489.833,358.35
490.198,375.73
490.562,383.17
490.926,313.68
491.29,370.76
491.654,353.39
492.018,360.84
492.382,395.59
492.746,445.23
493.11,383.17
493.474,370.76
493.837,293.82
494.201,365.8
494.565,326.09
494.928,331.05
495.292,398.07
